bag	0.30	0.00	4.21
ball1	0.56	2.00	1.26
ball2	0.55	1.00	0.85
basketball	0.32	3.00	3.05
birds1	0.47	4.00	2.15
birds2	0.45	2.00	3.03
blanket	0.58	2.00	2.79
bmx	0.48	0.00	2.10
bolt1	0.56	1.00	3.29
bolt2	0.67	1.00	2.83
book	0.33	6.00	0.47
butterfly	0.41	2.00	1.54
car1	0.40	1.00	3.07
car2	0.55	1.00	3.30
crossing	0.49	1.00	2.47
dinosaur	0.55	0.00	3.74
fernando	0.44	3.00	2.10
fish1	0.55	2.00	2.51
fish2	0.46	4.00	1.26
fish3	0.60	1.00	3.81
fish4	0.29	4.00	2.37
girl	0.60	1.00	4.64
glove	0.52	4.00	0.52
godfather	0.49	0.00	3.89
graduate	0.58	4.00	3.59
gymnastics1	0.53	4.00	3.35
gymnastics2	0.51	2.00	2.19
gymnastics3	0.38	2.00	1.17
gymnastics4	0.35	2.00	2.81
hand	0.55	6.00	1.07
handball1	0.24	6.00	1.56
handball2	0.32	4.00	1.89
helicopter	0.47	2.00	3.51
iceskater1	0.25	0.00	5.46
iceskater2	0.43	3.00	4.43
leaves	0.45	2.00	0.47
marching	0.46	2.00	1.62
matrix	0.69	3.00	0.69
motocross1	0.57	2.00	1.60
motocross2	0.47	0.00	1.42
nature	0.50	3.00	3.13
octopus	0.55	0.00	2.30
pedestrian1	0.36	1.00	1.82
pedestrian2	0.50	5.00	3.54
rabbit	0.21	5.00	0.37
racing	0.46	0.00	2.60
road	0.43	3.00	3.25
shaking	0.45	1.00	3.01
sheep	0.44	0.00	3.04
singer1	0.36	0.00	4.58
singer2	0.48	1.00	3.08
singer3	0.50	0.00	3.27
soccer1	0.56	4.00	1.14
soccer2	0.35	5.00	0.40
soldier	0.37	2.00	1.41
sphere	0.63	0.00	4.09
tiger	0.47	1.00	2.96
traffic	0.62	0.00	3.58
tunnel	0.53	0.00	3.81
wiper	0.60	2.00	2.59
Average	0.47	2.22	3.05
